50088 3
-13.22910447 6.28717186 5.75830493
1.72051447 7.29382151 1.06552491
-2.48062002 -7.40320905 2.65251337
14.96562481 -4.29137897 7.31407163
7.74341478 -10.27039987 4.93812933
2.22299707 5.75401576 0.62317475
-10.69180244 -12.00354788 7.83260116
11.27124768 3.94088872 4.28259283
-9.86987546 -4.46653031 3.36636686
7.55816423 -7.22019131 3.16343256
-5.01169090 -2.32713680 0.37416067
9.00885438 -7.32912310 4.48217261
-8.96210799 10.28152050 5.33878609
3.87276562 -10.72632220 3.49220718
14.22744650 2.59093772 5.98968388
-8.85524379 -11.53078312 6.30227629
-3.04403770 -12.18729330 4.58206237
-3.93803058 7.97259935 3.37097762
18.62223206 5.46308925 10.76914329
-4.34818710 14.50788630 6.00714290
-0.47839560 -6.31466618 1.35838061
-3.50744236 15.64277999 6.72434530
-5.43340836 8.54244682 3.86769948
-2.58202735 11.31739576 4.20083562
-4.62370204 -2.30430870 0.21952644
-9.20176608 -8.18156997 4.03934301
17.69819620 0.57496761 10.10251416
8.70404642 5.30606605 3.29222829
1.99606171 -10.19119652 2.80994975
3.38965832 9.69800812 2.44318543
-8.62197235 8.37928126 4.04078621
-8.89525022 -7.04638651 3.47966841
0.81306731 1.20719216 0.34654210
-10.87336789 0.60327901 4.46555709
0.75068875 -8.06219114 1.67211561
-0.65201193 4.62606634 0.72593720
13.92149845 -3.41441003 6.03057020
2.68044167 10.00941063 2.64963980
0.46185867 12.28621874 4.57180669
-9.16515854 2.61914891 2.97597926
-4.48811912 -1.19361640 -0.21885460
-9.91782866 -7.69023423 3.99175341
-7.33403235 8.71657217 4.08731392
-7.76243513 -7.68559419 3.61624012
-9.99189321 -5.07674025 3.43336614
1.43894828 -6.02972635 0.74712308
-9.07946149 -4.85458533 3.00940633
-5.19723607 -7.65429018 3.43886838
-3.24642786 13.71883504 5.28832305
0.12854518 -7.11405090 1.46962663
-9.93308672 -8.77707293 4.58186695
11.19216629 -3.55483323 3.99282349
-1.59306722 0.16195822 -0.51679797
-4.25961459 16.81149130 8.12695792
-10.40374603 -7.70319345 4.17680432
-0.06461423 0.06452762 -0.02558404
15.05851101 -0.35583811 6.55229002
-7.20443483 -7.35074466 3.42983791
14.85180406 0.99535394 6.33746158
1.41787689 11.11561135 3.62571664
-11.91444034 -10.74036900 7.31553289
13.48481239 2.36938124 5.17046679
8.37578902 -0.96956455 1.94099500
-10.26167561 8.23870212 4.38409478
7.17212350 -9.40940683 3.98039101
-2.04262339 7.93064754 2.74081126
-10.56864597 8.00421556 4.38980199
-1.91257986 6.85290568 2.15638225
-6.98163258 7.83015613 3.64352215
-0.63227755 11.80246997 4.18879052
15.61899536 -3.79037023 7.74765427
-6.34954973 0.04149999 0.64352841
3.41119040 -7.66822264 1.13704509
-4.08367639 7.39189458 3.12053223
1.92101739 -3.09686350 0.62498102
-12.41874999 -8.33427781 5.76073346
-1.80981309 6.55805144 1.96382204
-2.77926024 7.43612327 2.77456867
7.76006852 5.92104793 2.83144512
17.73435267 2.34025389 10.02920159
-8.00864678 12.25096864 6.43829464
-9.85570892 -6.55854597 3.58088258
-0.83127373 16.81494755 8.20806838
-1.42687659 -6.22707581 1.65421943
8.01344633 -8.95884141 4.39190321
9.02779495 5.70767016 3.71806684
9.21043251 2.51108504 2.45707400
-10.98329367 8.88275092 5.11582070
5.26896361 2.68354595 1.45891982
-2.56274601 -1.87746018 -0.32207285
-1.25989993 8.92657825 2.87726454
-9.54604885 0.34949728 3.35768806
-0.27765048 14.34529970 6.08116966
-1.06387300 16.35653247 7.66103259
8.78921209 -9.77566558 5.44709821
-1.52555978 -6.90644108 2.03316886
2.26089283 -9.79075956 2.46740457
-8.06263979 12.82178679 6.91584490
-5.46933286 4.45329800 1.66281229
-1.09803651 -1.17627694 -0.30134270
14.31202146 4.55073460 6.89711348
-5.36006834 -9.39808056 4.19656033
11.23720384 6.63485050 5.97149981
-4.55493226 15.76298460 7.10818666
0.23055889 -1.66934486 0.15750966
8.37630657 -4.19282739 2.50000000
-5.02875091 1.75699327 0.16113072
1.34475798 -2.57389765 0.51695378
6.15964577 -9.86976871 3.62660043
11.54256031 5.99689553 5.80901126
18.02384506 1.82561194 10.44134284
1.18524736 7.65083502 1.34317209
13.36113466 8.04082331 8.09979984
3.09100081 10.88174072 3.50650740
-11.02691693 -10.97322337 6.95696212
-5.82572166 -2.13928797 0.67997880
-0.89174206 -11.10567318 3.81711322
-2.55858458 7.10494592 2.52665758
-7.03367961 4.11356855 2.01585149
19.52154692 1.94652031 12.25755146
8.95005310 -2.62575596 2.50000000
11.14159050 6.44583446 5.78853207
12.85760015 -5.59254090 6.45942187
6.16108981 -8.86133040 2.91806780
-3.84717472 11.04813273 4.39466821
2.25212344 -2.82501986 0.72601754
9.72280306 1.48705447 2.33926017
-2.28051474 11.85831168 4.35014734
4.62392964 1.08405991 1.54909261
-7.06140094 5.65018627 2.65190531
-0.79920585 4.36863232 0.64693903
-1.44956615 11.44408293 4.06565488
-2.93598700 -0.44168517 -0.64364393
2.07268706 -8.40466061 1.52853857
4.80454975 -7.91368506 1.63254980
1.15770274 14.65698011 6.89283164
8.67443099 4.90801310 3.10329065
10.29420548 2.26100216 2.82045685
-13.10262183 4.91709265 5.54259004
16.88555261 3.92040697 9.01593946
1.56963996 14.51096936 6.91231639
-8.14122571 1.93754509 2.18291246
17.74679467 -1.61757963 10.10788511
9.81885085 -9.01171541 5.96160361
-1.75734333 4.83796181 1.02520850
-11.84697915 -8.85690365 5.64358537
-7.67220871 -7.25221825 3.41427445
-7.91439158 0.94479894 1.92836382
-9.36944634 6.29621458 3.36019927
-0.90979507 8.16055449 2.37593676
8.61060591 -1.20053991 2.50000000
1.63280520 -4.27391959 0.54391651
-5.01320901 10.14488786 4.39368288
-2.28546334 -13.69841095 5.23643182
-9.47781300 5.08480414 3.20032661
0.10552494 -1.39231094 0.09431073
-9.29793630 11.68831543 6.67181846
-10.24358061 -17.19338053 12.69310988
10.06431063 6.39977483 4.91360062
0.12000656 -11.01485985 3.62577072
10.90862248 -4.10682027 4.14345909
1.98872765 0.19292662 0.83184954
0.99130926 -9.06343530 2.15196350
7.92293528 -7.85320697 3.76095086
0.56218427 -1.53797189 0.26254477
16.11386770 3.62602649 8.20355732
1.90694503 0.34056115 0.79710408
-9.07388076 8.30278753 4.07685758
-5.41209994 -16.35221406 8.09925204
1.45569927 -5.80966122 0.70005073
-3.66405464 -10.28577377 4.13661821
-0.29943691 13.91599120 5.72224946
16.76711873 5.19385985 9.04385104
-11.84215976 -7.64890937 4.96593784
-7.32203254 12.94118929 6.53807177
-1.83283264 -5.91103925 1.62606062
-11.71483603 4.50778230 4.49657260
-9.07757055 6.08307618 3.22515467
4.28788344 7.17828373 1.14373844
-10.57261466 1.67419911 4.13170172
